,indices,choices,search
163,140068,"PICARD: The Kurl believed every individual is a community of individuals. Inside us are many voices, each with its own desires, its own style, its own way of viewing the world. PICARD: But Kurlan civilization died out thousands of years ago. It's rare to find a figurine intact. A truly incredible find. GALEN: It's yours, Jean-Luc.",civilization
164,30911,"KIRA: I think I'd like to have one of my own, someday... ODO: According to the archaeologists I talked to, the portal was built by a civilization that vanished a thousand years ago. ODO: Which means if Molly survived the fall, she would've found herself all alone.",civilization
165,47828,SISKO: I'll give you my decision in an hour. SISKO : Personal log. Supplemental. One hour. One hour to make a decision that could mean the life or death of a civilization. Or the end to our own. SISKO : My mind keeps going back to the Borg... how I despised their... indifference as they tried to exterminate us. And I have to ask myself... would I be any different if I destroyed another universe to preserve my own?,civilization
166,30712,ROM: But being Nagus'll make you rich. QUARK: I don't care. I'm not going to preside over the demise of Ferengi civilization. Not me. The line must be drawn here -- this far and no further. KIRA: He's been in there too long. Something's wrong.,civilization
167,135949,"DATA: My impression is that there were thousands... of all ages and walks of life. It was a remarkable experience. PICARD: Well, Data, you may never become fully human... but you've had an experience that transcends the human condition. You have been an entire civilization. PICARD: Nonetheless... it's time to stand watch on the night shift.",civilization
168,120635,"DATA: Doctor, are you suggesting they are becoming a... civilization? STUBBS: Oh really. I'm sorry but this is nonsense. You can't have a civilization of computer chips. They're made in a plant in Dakar Senegal. I've watched the construction. BEVERLY: Then how do you explain what you've seen here?",civilization
169,61205,"imperceptibly.Think, think.: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. NA: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. Thank you.used to support an: advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology.",civilization
170,61204,"All right, forget that.: Again, she nods almost imperceptibly. Think, think. BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. imperceptibly.Think, think.: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. NA: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology.",civilization
171,971,"PABST: It's not personal, Benny. But as far as our readers are concerned, Benny Russell is as white as they are. Let's just leave it that way. HERBERT: If the world's not ready for a woman writer -- imagine what would happen if it learned about a Negro with a typewriter -- run for the hills! It's the end of civilization! BENNY: What about James Baldwin, Richard Wright, Zora Neal Hurston, Langston Hughes? Ever heard of Native Son?",civilization
172,135796,"WORF: It is powerful and insidious. It has completely disarmed us. RIKER: Maybe it's more benign than that. If a civilization were dying... they might have created this technology to preserve their culture, and re-create it at some later point... PICARD: It could even be a sophisticated terraforming device.",civilization
173,90126,"TROI: You know of our existence. We have no choice but to destroy this ship. PICARD: If you destroy this ship, others will come searching for us. You may not be able to stop them all. Knowledge of your civilization could be spread across half the galaxy. TROI: No...",civilization
174,108800,"WORF: Captain, the sixth planet in the system is Class M. DATA: There is a system of roads on the planet which indicate a highly industrialized civilization. But where there should be cities there are only great rips in the surface. WORF: It is as though some great force just scooped all machine elements off the face of the planet.",civilization
175,30754,"ZEK: My mind is made up, Quark. Whining and complaining won't change anything. QUARK: I won't have any part of what you're doing to our once proud civilization. A man can only be pushed so far. If you want me to be Nagus, you're going to have to let me do things my way. MOOGIE: Who wants you to be Nagus?",civilization
176,130413,"PICARD : We are now in orbit there, having determined it to be inhabited as well as unusually lovely. It is... PICARD : ... a pastoral world, which also shows evidence of learning and civilization. My first officer has taken an away team down to make contact and they are in the process of returning to the ship. PICARD: Riker has sounded very enthused in his reports.",civilization
177,140202,"DATA: The Indri system was first identified by Federation vessels nearly sixty years ago. DATA : The eighth planet is L-class, covered by deciduous vegetation... unexplored, but with no apparent evidence of civilization, present or past. In fact, the planet possesses no animal life whatsoever. PICARD: Number One, we'll proceed to Indri Eight.",civilization
178,61203,"Can I have it?	JACK: All right, forget that. Again, she nods almost imperceptibly. Think, think. BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. All right, forget that.: Again, she nods almost imperceptibly. Think, think. BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology. imperceptibly.Think, think.: BASHIR Any evidence that Kabrel Thank you. used to support an advanced civilization? Maybe they're looking to excavate something valuable -- like an ancient technology.",civilization
179,120745,"DATA/NANITE: Thank you, but we have evolved beyond any need for your assistance. This vessel has become too confining. We require relocation. PICARD : Captain's log, Stardate 43104.7. Doctor Stubbs has generously used his influence to arrange the designation of planet Kavis-Alpha-Four as the new home of the Nanite Civilization. Plans to negotiate a treaty are underway. PICARD : Commander Data's neural network has been vacated... He has been returned to us, unharmed, and with the help of the nanites, our computer core has been reconstructed in time for the experiment...",civilization
180,49145,"BAREIL: That was delicious. KIRA: Thank the replicators. BAREIL: Here, let me help.",replicators
181,129043,TOQ: The hunt? TOQ: We have replicators here. WORF: Klingons do not hunt because they need food. The hunt is a ritual that reminds us of where we come from.,replicators
182,128049,"GEORDI: It's a pretty strange set-up, but I think the graviton field generator has completely depolarized. We can't fix it, it has to be replaced. RIKER: Where are your replicators? VAREL: They are off-line.",replicators
183,26094,"DAMAR: When I spoke to Garak, I told him to bring some. RUSOT: Federation food replicators? DAMAR: Rusot, we're in no position to turn down help -- no matter where it comes from.",replicators
184,1785,work crews are all missing... I: can't manufacture any new parts until we get the replicators fixed... can't manufacture any new parts: until we get the replicators fixed... DAX: The first thing we have to do is neutralize the Lethean.,replicators
185,25072,"QUARK: There's an old Ferengi saying, ""Never ask when you can take."" (trying to hide his annoyance) How did you figure it out, anyway? ODO: You claimed Rom fixed your replicators. QUARK: So?",replicators
186,62718,"EDDINGTON : Please do not share it with anyone who doesn't have a level seven security rating. It seems that during their recent invasion of Cardassia, the Klingons inflicted far more damage than we've been led to believe. Two weeks ago, the civilian government on Cardassia Prime secretly contacted the Federation Council and made an urgent request for industrial replicators. And that request... has been granted. DAX: How many replicators are we talking about? EDDINGTON: Twelve -- all class four.",replicators
187,19704,Q: You're making a terrible mistake. BASHIR: Why? Have the replicators malfunctioned again? Q: I'm talking about Vash. Stay away from her.,replicators
188,45324,"KAJADA: (a beat, thinking as Vantika) In the past, he's used a subspace shunt attached to a secondary system, something that runs through the entire facility but isn't covered by security. KIRA: The lighting controls or maybe the replicators. DAX: I'm showing an unauthorized tap into the computer system at a temperature control panel... Level twenty-one. Section ten.",replicators
189,76675,"RIKER: That's true... it ""sees"" with its sensors... ""talks"" with its communications systems... BEVERLY: In a sense, it even ""reproduces"" with the replicators... PICARD: And you think the ship has somehow gone beyond those functions... has developed a new capacity...",replicators
190,62720,"EDDINGTON: Twelve -- all class four. KIRA: The Federation's only given Bajor two CFI replicators. EDDINGTON: With all due respect, Bajor is just one planet. The Klingons have destroyed the industrial base of literally dozens of Cardassian worlds. With twelve CFI replicators, they can at least start building new power plants and factories.",replicators
191,24935,"O'BRIEN: I'd settle for five minutes of peace and quiet. SISKO: Chief, I thought you were going to fix the replicators. O'BRIEN: You're absolutely right, Sir. I knew I'd forgotten something. Can't have the operations chief sitting around daydreaming when there's work to be done, can we? I'll get right on it.",replicators
192,90826,CASTILLO: What's a T-K-L? TASHA: Standard rations. Food replicators are on minimum power... TASHA : Everything else is diverted to defensive systems. So where was I...,replicators
193,132400,"BASHIR: I must admit, Commander... I didn't think you'd be so... personable. GEORDI: I'll have to talk to Chief O'Brien about the replicators. GEORDI : I don't know how you can keep eating it... It tastes like... liquid polymer.",replicators
194,63056,"ODO: As you wish. REESE: All the replicators have been secured in the ship's hold, sir. EDDINGTON: Very good. We'll be departing in five minutes and I'm leaving you in command until Captain Sisko returns.",replicators
195,25050,"ASOTH: Quark, that Kohlanese stew... magnificent. QUARK: Fortunately my assistant, Rom, was able to fix the replicators. ODO: Yes, very fortunate.",replicators
196,77553,KAHLESS: They are good men. But they chatter like tree hens. WORF: I am sorry our replicators do not do justice to Klingon Warnog... KAHLESS: It has been so long since I have tasted any food or drink... there are many things I have forgotten.,replicators
197,106943,"DATA: That would explain why your music composition program began playing ""The Slavonic Dances."" I have been analyzing the collected works of Anton Dvorak. GEORDI: The same with Doctor Crusher's play... and with the food replicators... RIKER: The replicators on Decks Four through Nine have started producing nothing but cat food.",replicators
198,106487,"GEORDI: Whatever it is, it looks like there's been a conversion process -- transforming some of the metal into gelatinous residue. But what caused it is a mystery. PICARD: The stabilizers and the replicators. Two totally unrelated systems... GEORDI: Yessir, and we still don't know why the sensors didn't catch the problems.",replicators
199,32564,"DUKAT: Excuse my presumption, but this was my office only two weeks ago... DUKAT: So, have you been able to get the food replicators to work properly? SISKO: Frankly, no.",replicators
200,1784,many system's sabotaged... My: work crews are all missing... I can't manufacture any new parts until we get the replicators fixed... work crews are all missing... I: can't manufacture any new parts until we get the replicators fixed... can't manufacture any new parts: until we get the replicators fixed...,replicators
201,135613,RIKER: How did it get in? GEORDI: I was able to trace its path from the replicators to our sensor array. RIKER: The sensors? They've been scanning that comet for the last eighteen hours...,replicators
202,26248,"RUSOT: Did you bring the supplies we requested? ODO: Food replicators, weapons... I believe you'll find everything you asked for. DAMAR: Excellent. The Cardassian people won't forget the Federation's generosity.",replicators
203,72345,EDDINGTON: You're crazy. They're almost on top of us. SISKO: I'll say one thing about these replicators. They make good Klingon coffee. EDDINGTON: They're scanning us.,replicators
204,97169,SOREN: What is it? RIKER: Split pea soup. My father's recipe. I had it programmed into the replicators. RIKER: Well?,replicators
205,29077,"FAREN: It is. (looking down at the old man) If he dies, we all die. WOBAN: I'll say this for the Cardassians. Their replicators make a fine larish pie. VARIS: I didn't come here to eat, Commander.",replicators
206,26092,"DAMAR: Our food supplies are running low. RUSOT: We'll have to cut back our rations until we get hold of some food replicators. DAMAR: When I spoke to Garak, I told him to bring some.",replicators
207,14771,SISKO: It's warm in here... I take it you reset the environmental controls... ODO: I also had Chief O'Brien reprogram the replicators to provide Cardassian food. SISKO: Security measures?,replicators
208,48160,"DAY: You can let your engineers play with the machines... I'm sending out search parties... O'BRIEN: Eat hearty... the replicators crash in sixteen minutes... this'll have to last awhile... SISKO: Combat rations, Chief? Couldn't you replicate something a little more palatable?",replicators
209,25080,"BASHIR: Major, I have analyzed samples from all over the station. All of the food on the command level is contaminated with the virus. SISKO: But all of us here have eaten from those replicators. How come we're not aphasic? BASHIR: This virus is highly adaptable. Its gestation period seems to vary within each individual.",replicators
210,64706,"BASHIR: What's that? GARAK: The truth. BASHIR: I've about given up on learning the truth from you, Garak.",truth
211,43469,"ODO: It serves the truth. ENINA: The truth. ODO: If there's more to this than meets the eye, I hope you'll explain, because as it stands, this will severely hurt Dax's defense.",truth
212,116821,DIRGO: Tell him the truth. WESLEY: What truth? DIRGO: (removing his hand from the wound) He's bleeding inside. I've seen it before. He'll never survive.,truth
213,45655,"DUKAT: -- in the Singha refugee center? I'm afraid not, Major. That was something your father told you because he couldn't bear to face the truth. KIRA: What truth? DUKAT: That your mother left him to be with me.",truth
214,70936,"QUARK: Take that back. ROM: It's the truth. ROM: He went from one bad deal to the next, one failure after another. He couldn't hold onto latinum if you sewed it into his pants.",truth
215,4244,"O'BRIEN: Is that what I'm supposed to tell myself? BASHIR: It's the truth. BASHIR: Look, I'm sorry I don't have all the answers. All I know for sure is that I'm glad you're back.",truth
216,40278,ENSIGN: No... SISKO: I want the truth. SISKO: Is that clear?,truth
217,116820,PICARD: Good work... I'm going to be fine in a moment... just need to catch my breath... DIRGO: Tell him the truth. WESLEY: What truth?,truth
218,34706,"ROSS: That's a harsh way to put it. KIRA: The truth often is. ROSS: I really would like to help you, colonel, but my hands are tied.",truth
219,43468,ENINA: What purpose is this supposed to serve? ODO: It serves the truth. ENINA: The truth.,truth
220,32784,"JENNIFER ALIEN: (come on, you've got to be kidding) It is inconceivable that any species could exist in such a manner... you are deceiving us... SISKO: No, this is the truth... SISKO: This day... this park... it was almost... fifteen years ago. Far in the past. It was a very important day to me... a day that shaped every day that followed.",truth
221,132029,"YRANAC: I hadn't finished yet. You'll like this... the man got what was coming to him. When they knocked him down, one of them took out a weapon... and fired. He was vaporized. TROI: He's telling the truth. RIKER: Doctor?",truth
222,11984,"SISKO: Are you sure you don't want anything? DULMUR: Just the truth, Captain. SISKO: You'll get it. Where do you want to start?",truth
223,45703,SISKO: Excuse me? KIRA: I need to know the truth. SISKO: Let me get this straight... You want to travel back in time to see if Dukat and your mother were lovers?,truth
224,86229,"PICARD: Let us do no such damned thing! What is this need of yours for costumes? Have you no identity of your own? ""Q"" : I come in search of truth. PICARD: You come in search of what humanity is!",truth
225,77614,"WORF: They grew you in a test tube... like some kind of fungus... then programmed you like a machine. KOROTH: You are twisting the truth. WORF: You talk to me about the truth? You, who have brought this... lie to life and then called it Kahless?",truth
226,44726,"ODO: Well, I conducted a little investigation of that freighter, and do you know what I discovered? QUARK: That I was telling the truth? ODO: That's right. I arrested the first officer and two of the crew.",truth
227,41774,QUARK: That's it? That's supposed to cheer us up? VIC: The truth shall set you free. QUARK: Do you feel better?,truth
228,12972,DUKAT: You're sure of that? I can't help you unless you tell me the truth. ZIYAL: I am telling you the truth! The question is have you been telling me the truth. DUKAT: About what?,truth
229,42485,ODO: That's... very flattering. SISKO: It's the truth. Will you do it? ODO: All right.,truth
230,20642,ODO: You really have been through here before. CRODEN: Sometimes I do tell the truth. ODO: How do you remember what's true and what isn't?,truth
231,72505,"EDDINGTON: Look around you, Ben. Does this look like a launch site? SISKO: I want the truth, Eddington. Now. REBECCA: There never were any missiles, no retaliatory strike against Cardassia. It was all a ploy. A way to let Michael know that we'd made it here.",truth
232,10911,"KIRA: Maybe. Or they could've had a problem with their navigational array... or run into some kind of subspace anomaly. DUKAT: Hopefully we'll learn the truth. DUKAT: I'm reading severe ionic interference in the planet's atmosphere. Sensors will be limited, to say the least.",truth
233,1011,"BENNY: How do you know my name? PREACHER: Go now and write the truth that's in your heart. The truth ""that shall set them free!"" PREACHER: Praise be the word of the Lord... Praise to the word of the prophets. Hallelujah, brothers and sisters.",truth
234,130569,"EDO GIRL: Oh, no! Oh, please, no! FIRST MEDIATOR: Speak the truth. We are Mediators. WESLEY: I said I was fine. Just some splinters...",truth
235,88308,"TROI: Well, you obviously have romantic feelings for him... Beverly, you should realize by now you can't fool me. Who is it? BEVERLY: Alright... the truth is, I met Ronin. TROI: Ronin? Your grandmother's lover?",truth
236,77652,"WORF: They are not alone... like many of our people, they need something to believe in... just as I did... something larger than themselves... something that will give their lives meaning. They need Kahless. GOWRON: But when they find out the truth... ? WORF: It will not matter. Despite the facts, they will still believe... They will... make a leap of faith... and there will be others just like them... not everyone... but enough to plunge the Empire into civil war if you oppose them.",truth
237,73239,"SOONG: She recognized me. It had worked! Here was a life not two minutes old, and as far as she knew I was her husband and she'd just recovered from a terrible injury. It was incredible. DATA: And you never told her the truth? SOONG: Why? There was no reason for her to know. I wanted her to be happy. I wanted us to be happy. And we were... for a while, anyway...",truth
238,69476,SISKO: Why would you want to help me... GUL DUKAT: Because I already know the truth. SISKO: You know who's responsible?,truth
239,107559,ADMIRAL SATIE: Sabin? SABIN: I believe... he is telling the truth. SABIN: He admits stealing the files... but not sabotaging the dilithium chamber. I get no sense that he is lying.,truth
240,97167,"SOREN: Well, if that's the systems review, I don't see any problems here. What's next? RIKER: Lunch. SOREN: What is it?",lunch
241,65385,"KOR: HoH! KOR: Lunch! KOR: Delicious, isn't it?",lunch
242,30536,EZRI: Hi. BASHIR: Having lunch? EZRI: It's that time.,lunch
243,84000,"TROI: Bring me an order of... Ongilin caviar. Make that a double order. WORF: Caviar... for lunch? TROI: I'm in the mood for something salty. Besides, it's no stranger than what you're eating.",lunch
244,90837,"PICARD: This is the captain. Senior officers will report to my Ready Room immediately. TASHA: So much for lunch. BEVERLY: Captain, are you suggesting they should return and attempt to complete their mission?",lunch
245,44143,O'BRIEN: Not very hungry... KEIKO: I had a late lunch. KEIKO: How is it?,lunch
246,33271,BASHIR: I'm afraid we'll have to wait to see what this becomes before we have a clue... You can transfer it to the larger field now... SISKO: Care for some lunch? BASHIR: Sure.,lunch
247,55948,QUARK: Do you know how to make Hasperat souffle? QUARK: Lunch for Major Kira. CARDASSIAN OFFICER: Major Kira has already been fed.,lunch
248,6357,"BASHIR: Say you agree. Say you disagree. Say you hate theater. Just say something. O'BRIEN: Look, Julian, you said you wanted to have lunch... so we're having lunch. BASHIR: Yes. But I was hoping for a little more... conversation with my plomeek soup.",lunch
249,71463,"GARAK: No. But it seems there's a great deal they didn't teach me. Like the value of a good game of chance... or how indulging in fantasy can keep one's mind... creative. BASHIR: See you at lunch tomorrow? GARAK: Of course. But why don't we have lunch at your place -- in Hong Kong. That is, if this wasn't your last mission.",lunch
250,143980,ATTENDANT: That's what you said the last time. ATTENDANT: I'll be back with your lunch. INMATE: I hear you're a Starfleet officer...,lunch
251,3823,O'BRIEN: Tomorrow morning it is. BILBY: Come on. Let's get some lunch... O'BRIEN: Bilby wants me to fix this for him.,lunch
252,141766,GABRIELLE: What is this for? FRANCINE: My lunch. Feed it to the birds. GABRIELLE: He will come. He will.,lunch
253,88908,"RIKER: I'm with you... RIKER: Lunch time, O'Brien! Let's do it! BEVERLY: Easy, Deanna...",lunch
254,26436,ODO: Not at all. KIRA: Then can I interest you in lunch? ODO: Where shall we go?,lunch
255,25204,COMPUTER: Command unclear. Please repeat. BASHIR: Glass lunch judge a bin to let it... COMPUTER: Command unclear. Please repeat.,lunch
256,226,"ODO: Weren't you supposed to be working on some optronic circuitry on Level Five? O'BRIEN: I was going to the Replimat... for lunch. BASHIR: Keiko's going to be all right. She's lucky she landed the way she did. It distributed the impact. A fall from that height could easily have killed her, or left her paralyzed.",lunch
257,23676,QUARK: It's never too late. So how long are you going to be on the station? GARAK: Thank you for another enjoyable lunch. Doctor. NATIMA: I didn't think there'd be any Cardassians left on the station.,lunch
258,89422,COMPUTER: Ten Hundred hours: counseling session with -- TROI: Cancel them. Cancel everything until after lunch. COMPUTER: Acknowledged.,lunch
259,4721,WORF: It is a private matter. DAX: Worf is upset that I had lunch with Captain Boday. ODO: The Gallamite?,lunch
260,143228,"OLIANA: Oh. Hi, Wes. WESLEY: I, um, thought you might want to have lunch... together. OLIANA: Thanks, but I'm not very hungry.",lunch
261,143238,"WESLEY: Sure! MORDOCK: If you like, we can discuss this at lunch... I am hungry. WESLEY: Me too!",lunch
262,83996,"WORF: Do not approach me unannounced -- especially while I am eating. TROI: Worf... we were supposed to have lunch together, remember? WORF: I was hungry.",lunch
263,16975,"BASHIR: Garak! GARAK: It looks like we won't be having lunch after all, Doctor. SISKO: It's too late. Come on.",lunch
264,1704,"QUARK: I know. I told him that. But he insisted that I ask you anyway. Letheans can be incredibly stubborn. I hope you'll forgive the interruption. QUARK: You know, we just introduced a new lunch menu at the bar. BASHIR: Good-bye, Quark.",lunch
265,50551,"DAX: Canisters away. NOG: I hope whoever's in charge down there hasn't taken a lunch break. BASHIR: The Jem'Hadar don't eat, Nog.",lunch
266,15353,"JAKE: Hey, Nog. What's going on? NOG: If you're here to order lunch, you'll have to come back in an hour. JAKE: Actually, I just ate. Hey, that was a pretty funny joke you pulled on my Dad this morning. (off Nog's questioning look) You know, about wanting to join Starfleet.",lunch
267,55423,"O'BRIEN: No sign of a single vole. I think we got them all. ROM: Chief, is it all right if I take a slightly longer lunch than usual? ROM: I need Leeta to sign this.",lunch
268,8684,"JAKE: You see, no problem. O'BRIEN: I'll check in on you at lunch. If you need me, I'm only a com-line away. JAKE: He woke up.",lunch
269,64411,"BASHIR: I thought it was... interesting. Though maybe a little dull. In spots. GARAK: Wonderful. At this rate, we should be done eating lunch just in time for dinner. BASHIR: There's always Quark's.",lunch
270,32727,SISKO: Memories... events from my past... like this one... JAKE ALIEN: Past? SISKO: Things that happened before now...,past
271,5688,"JAKE: What's this? NOG: ""Past Prologue."" JAKE: What's it doing out here?",past
272,129624,"PHILLIPA: What makes you think it's a man? PICARD: Past experience. PHILLIPA: Cute. Try to remember that you're an officer and a gentleman. You know, I never thought I would say this, but it is good to see you again. You're still a damn sexy man, Picard.",past
273,13201,"KIRA: Let me tell you something, Odo. KIRA: We are way past ""sorry."" O'BRIEN: Sir, incoming message from the Cortez. They're still having trouble stabilizing the guidance thrusters on their port nacelle.",past
274,4059,"O'BRIEN: Watch out for recursive dataloops, you don't want to get diverted into a backflow. KROLE: I'm past the lockouts. O'BRIEN: Sweep the matrix... give me an access point...",past
275,133511,"TROI: All right, I'll admit that was a catalyst. But I can honestly say it's something I have thought about off and on over the past two years. RIKER: Why the past two years? TROI: Do you remember when the Enterprise hit that quantum filament... and I was left in command on the Bridge?",past
276,75741,PICARD: All stop. Put it onscreen. PICARD: It's bigger in the past... TROI: Sir?,past
277,142081,"PICARD: You've got three minutes, no more. Transporter Room, lock onto their coordinates and be ready to beam them up the instant of my command. WORF: He's past the halfway mark. RIKER: Captain, I need more time.",past
278,115734,WORF: No reaction from the assimilator. RIKER: We're past the first hurdle. WORF: Sir! Object to port --,past
279,76525,"PICARD: Shakespeare enjoyed mixing opposites... PICARD: Past and future... Despair and hope... PICARD: Data, is this part of your program?",past
280,45442,"QUARK: Durg. Wake up. This is Quark, you're talking to. Remember. DURG: All past debts have been settled. QUARK: They'll never be settled. You'd still be rotting in a Cardassian jail if I hadn't...",past
281,3832,"CHADWICK: The Syndicate killed another one of our undercover operatives last week. O'BRIEN: That makes five in the past year. CHADWICK: We need you to find out who their informant in Starfleet is. Once you give me the name, I'll put you on the next transport home.",past
282,130566,FIRST EDO BOY: Couldn't you see the fence? That's for new plants... SECOND EDO BOY: Don't ever go past a white marker! WESLEY: What's wrong?,past
283,26119,"MARTOK: It's true. GOWRON: Then what's past is past! If Martok considers you his brother, that's all I need to know. GOWRON: Come! I brought a barrel of the finest bloodwine and it must be drunk tonight!",past
284,121892,WESLEY: I don't have any more equations. TRAVELER: See past the numbers. Trust yourself... WESLEY: I can't. I can't do it.,past
285,17929,"ODO: Well I haven't forgiven you. DEEP SPACE NINE: ""Behind the Lines"" - REV. 8/21/97 - ACT TWO 18. FEMALE SHAPE-SHIFTER: It's time to put the past behind us. ODO: What about the present? You're waging war against my home.",past
286,69431,"QUARK: With me? Uh, perhaps I should explain about that slip-of-the- tongue.... SAKONNA: Your past is of no consequence to me. QUARK: I'm... delighted to hear you say that. Because nothing would please me more than to make a fresh start with the Vulcans, Ms... ?",past
287,79015,"TROI: Careful, sir. This is not an illusion or a dream. PICARD: But these courts happened in our past.... TROI: I don't understand either, but this is real. I can feel that!",past
288,90846,"RIKER: But that's what you're talking about doing anyway, isn't it? Altering the past. PICARD: We're talking about restoring the past. GEORDI: How could Guinan know that history has been altered... if she's been altered along with the rest of us?",past
289,32829,"JAKE ALIEN: Then how can you take responsibility for your actions... SISKO: We use past experience to help guide us. SISKO: For Jennifer and me, all the experiences in our lives prepared us for the day we met on the beach... helped us recognize that we had a future together. When we married, we accepted all the consequences of that act, whatever they might be... including the consequence of you.",past
290,21362,KASIDY: Baby -- I know Vic's isn't a totally accurate representation of how things were. But it isn't meant to be. It shows the way things could've been. The way they should've been. SISKO: We can't ignore the truth about the past. KASIDY: Going to Vic's isn't going to make us forget who we are or where we came from. What it does is remind us that we're no longer bound by any limitations... ... except the ones we impose on ourselves.,past
291,7392,"JENNIFER: You've got no right to talk to me like that. Since when do you care about what happens to ""our people?"" You've never cared about anyone but yourself. SISKO: Maybe I've changed in the past few years. JENNIFER: How many times have I heard you say that?",past
292,66112,"KRIT: He feels terrible. QUARK: (trying to move past them) No hard feelings. KRIT: It's nice of you to be so forgiving, Quark.",past
293,26787,O'BRIEN: It went through the barrier and traveled back through time in the same way. SISKO: We've been talking to someone in the past. BASHIR: So what do we do now?,past
294,32726,"JAKE ALIEN: ""Experiences"" - what is this? SISKO: Memories... events from my past... like this one... JAKE ALIEN: Past?",past
295,49387,WEYOUN: Was I? I didn't mean to. ODO: You've been doing it for the past ten hours. WEYOUN: I'm sorry. It's just such an honor to be sitting here with a --,past
296,39875,"KIRA: Commander, I guarantee you that's a forged document. I think it's pretty clear what's going on here. The Cardassians want to trick us into letting him go. SISKO: I wouldn't put it past our friend Gul Dukat. ODO: Nor would I. However...",past
297,124283,"DATA: I have just started the scan. I thought you were going to Sickbay. GEORDI: I've been there for the past hour and a half. DATA: That is not possible. My internal chronometer indicates it has been exactly one minute, fifteen seconds since you left the room.",past
298,66469,"SISKO: I was standing in front of the Obelisk. And as I looked up, for a moment, I understood it all. B'hala... the Orbs... the occupation... the discovery of the wormhole... the coming war with the Dominion. KIRA: You could see the future as well as the past? SISKO: And for one moment, I could see the pattern that held it all together.",past
299,32778,JENNIFER ALIEN: She is part of your existence. SISKO: She is part of my past. She's no longer alive. JENNIFER ALIEN: But she is part of your existence.,past
300,111080,"RASMUSSEN: ""Picard's empath won't trust you."" That's what they all said. TROI: Picard's empath? RASMUSSEN: We're not that unalike, you and I. You possess a sense that is foreign to the others. My knowledge of the future is similar. You know, some of my best friends are empaths... they trust me.",empath
301,142004,BEVERLY: That's not why you're here. TROI: I'm supposed to be the empath. TROI: Are you all right?,empath
302,111816,"KAMALA: My body is producing an unusually elevated level of what you would call pheromones. The effect can be quite... provocative. Perhaps you sense it... RIKER: Ah, unfortunately, I'm not an empath... KAMALA: Oh, I think you are more empathic than you admit... at least when it comes to women...",empath
303,101169,"TROI: It's not easy having an overbearing parent. Believe me, I know how you feel. JEV: Oh, yes... I was told you were an empath. TROI: I can't read Ullians. But, I do know a certain Betazoid mother who is a great deal like your father.",empath
304,108513,"DEVINONI: Deanna, it's just business... TROI: Why haven't you told anyone that you're an empath? DEVINONI: I find it makes people uncomfortable.",empath
305,111079,"TROI: Should I? RASMUSSEN: ""Picard's empath won't trust you."" That's what they all said. TROI: Picard's empath?",empath
306,102079,PICARD: Well? TROI: I don't think you need an empath to sense that woman's feelings. TROI : There's hostility... that she seems to have transferred from Lore... to Data...,empath
307,108520,"DEVINONI: Deanna, people have been doing that for thousands of years, by listening carefully, by watching body language. I just happen to be better at it. You do it. TROI: I do it to help my crew, not outmanueuver them. And I don't hide that I'm an empath. DEVINONI: You announce it to every alien culture you encounter? Or do you use it to give your side an advantage. Do you tell the Romulan in the ship about to attack that you can feel that he's bluffing or do you just tell it to your captain?",empath
308,89351,"ALKAR: Tell me, Counselor... have you ever been involved in diplomatic negotiations? TROI: Several times... with Captain Picard. There've been instances when having an empath along has been helpful. ALKAR: I'm sure. I could use some of that help. Would you come with me when we reach Seronia?",empath
309,133051,TROI: How do I know I won't be killed anyway? N'VEK: Your only chance to get off this ship alive is to do as I say. You are an empath. You would know if I am lying. Am I? TROI: No.,empath
310,89390,ALKAR: She was ninety-three... she'd lived a long life... I should be grateful for that. ALKAR: Counselor... there's a funeral meditation... part of our rituals... as an empath you're the only person on board who could perform it with me... TROI: I'd be glad to help...,empath
311,111785,"BRIAM: No, Kamala... this is not Alrik. This is Captain Jean-Luc Picard of the Federation Starship Enterprise. KAMALA: That explains why you don't look at all like your holographs. I apologize, Captain. As an empath, I could sense your authority. I assumed that you were Chancellor Alrik... PICARD: I'm afraid I require an explanation...",empath
312,136807,"TROI: So just as I'm leaving the reception, a Ktarian walks up to me and says... TROI: ""So Diane... I understand you're an empath. I'm a very... sensitive man myself. I'm doing a thesis on interspecies mating rituals. Would you care to join me in some empirical research?"" GEORDI: Don't tell me -- Doctor Mizan.",empath
313,89621,"PICARD: Then... you deliberately began using Deanna... ALKAR: She's an empath. I was reasonably certain I could establish a link with her. Frankly, I was amazed when I saw how quickly she was aging. Usually my receptacles survive for years. PICARD: Receptacles... ?",empath
